sample_name,S275_295,S275_295_r2,S350_400,S350_400_r2,Sr,E2toE3,FI,HIX,FRESH,BIX,Sample_shorthand,Event,Plot,Grid,Timepoint,date
TMP_FW_POOLED_T3_CDOM,0.01394,0.99959,0.018192,0.99987,0.76626,5.3873,1.5074,0.91711,0.58705,0.59618,NA,TMP,FW,POOL,T3,2022-06-23
TMP_C_POOLED_T3_CDOM,0.013951,0.99818,0.018789,0.99981,0.74252,5.3717,1.5551,0.92331,0.55027,0.56641,NA,TMP,C,POOL,T3,2022-06-23
TMP_SW_POOLED_T2_CDOM,0.017242,0.99701,0.020693,0.99976,0.83319,7.3693,1.7699,0.69873,0.875,0.89286,NA,TMP,SW,POOL,T2,2022-06-22
TMP_FW_POOLED_T0_CDOM,0.014804,0.99916,0.018961,0.99983,0.78076,5.8198,1.5409,0.92897,0.58229,0.58809,NA,TMP,FW,POOL,T0,2022-06-20
TMP_FW_POOLED_20220615_CDOM,0.014724,0.99926,0.018978,0.99977,0.77582,5.6847,1.5501,0.92922,0.56288,0.57329,NA,TMP,FW,POOL,NA,2022-06-15
TMP_FW_POOLED_T1_CDOM,0.014475,0.99903,0.018443,0.99985,0.78484,5.5663,1.5039,0.91639,0.56533,0.57599,NA,TMP,FW,POOL,T1,2022-06-22
TMP_SW_POOLED_T1_CDOM,0.015392,0.99834,0.018516,0.99988,0.83128,5.8799,1.6909,0.82916,0.78714,0.79251,NA,TMP,SW,POOL,T1,2022-06-22
TMP_FW_POOLED_20220613_CDOM,0.014945,0.99945,0.019099,0.99981,0.78252,5.9125,1.5373000000000001,0.92962,0.5795,0.59484,NA,TMP,FW,POOL,NA,2022-06-13
TMP_FW_POOLED_T0_CDOM,0.014517,0.99916,0.018719,0.99981,0.77554,5.688,1.5585,0.93504,0.5948,0.60247,NA,TMP,FW,POOL,T0,2022-06-20
TMP_C_POOLED_20220615_CDOM,0.014293,0.9988,0.019154,0.99976,0.74622,5.4734,1.5588,0.92928,0.55306,0.56604,NA,TMP,C,POOL,NA,2022-06-15
TMP_C_POOLED_T2_CDOM,0.014609,0.99894,0.019953,0.99973,0.73219,5.745,1.5269,0.92111,0.55996,0.56699,NA,TMP,C,POOL,T2,2022-06-22
TMP_FW_POOLED_T2_CDOM,0.013872,0.99902,0.017781,0.99985,0.78018,5.2704,1.4875,0.93036,0.55697,0.5626,NA,TMP,FW,POOL,T2,2022-06-22
TMP_C_POOLED_20220613_CDOM,0.014568,0.99876,0.01944,0.99979,0.74939,5.6943,1.5611,0.92982,0.56044,0.57154,NA,TMP,C,POOL,NA,2022-06-13
TMP_SW_POOLED_20220613_CDOM,0.013598,0.99928,0.018536,0.99984,0.73363,5.3409,1.5038,0.93188,0.5324,0.5398,NA,TMP,SW,POOL,NA,2022-06-13
TMP_C_POOL_20220909,0.01447,0.99937,0.019337,0.99977,0.7483,5.5105,1.5622,0.92098,0.54161,0.55284,TMPC21Sep ,TMP,C,POOL,NA,2022-09-09
TMP_C_POOL_20220808,0.014784,0.99912,0.020818,0.99954,0.71014,5.9376,1.5825,0.92466,0.56378,0.57358,TMPCAug08 ,TMP,C,POOL,NA,2022-08-08
TMP_C_POOL_20220718,0.014332,0.99907,0.018939,0.99976,0.75674,5.4521,1.5649,0.92379,0.5513,0.56815,TMPCJul18 ,TMP,C,POOL,NA,2022-07-18
TMP_C_POOL_20220721,0.014885,0.99925,0.019947,0.99971,0.74625,5.8273,1.5691,0.92441,0.56748,0.57333,TMPCJul21 ,TMP,C,POOL,NA,2022-07-21
TMP_FW_POOL_20220909,0.014113,0.99966,0.017547,0.99992,0.80432,5.3222,1.5116,0.92609,0.54536,0.55343,TMPF21Sep ,TMP,FW,POOL,NA,2022-09-09
TMP_FW_POOL_20220808,0.014563,0.99917,0.020013,0.99969,0.72766,5.9317,1.5489,0.92385,0.57317,0.58796,TMPFAug08 ,TMP,FW,POOL,NA,2022-08-08
TMP_FW_POOL_20220718,0.014427,0.99898,0.019805,0.99968,0.72844,5.7678,1.5496,0.92274,0.56244,0.5716,TMPFJul21 ,TMP,FW,POOL,NA,2022-07-18
TMP_FW_POOL_20220721,0.014977,0.99944,0.018907,0.99984,0.79213,5.8465,1.5197,0.898,0.56114,0.57389,TMPFJul18,TMP,FW,POOL,NA,2022-07-21
TMP_SW_POOL_20220909,0.012102,0.99941,0.015644,0.99996,0.77359,4.3508,1.4026,0.94636,0.48122,0.4976,TMPS21Sep ,TMP,SW,POOL,NA,2022-09-09
TMP_SW_POOL_20220808,0.012459,0.99927,0.018333,0.9998,0.67963,5.0054,1.446,0.9364,0.51606,0.53271,TMPSAug08 ,TMP,SW,POOL,NA,2022-08-08
TMP_SW_POOL_20220718,0.012748,0.99925,0.015947,0.99998,0.79937,4.6826,1.6191,0.87812,0.71078,0.71842,TMPSJul18 ,TMP,SW,POOL,NA,2022-07-18
TMP_SW_POOL_20220721,0.011893,0.99947,0.015659,0.99988,0.75953,4.2467,1.359,0.95526,0.45461,0.4726,TMPSJul21 ,TMP,SW,POOL,NA,2022-07-21
TMP_C_POOL_20230628,0.013865,0.99892,0.018513,0.99973,0.74893,5.1684,1.5672,0.88536,0.54084,0.54921,NA,TMP,C,POOL,NA,2023-06-28
TMP_FW_POOL_20230607_1600_FW11,0.014411,0.99571,0.017958,0.99991,0.80252,5.5412,1.4818,0.86242,0.53791,0.54911,NA,TMP,FW,POOL,NA,2023-06-07
TMP_FW_POOL_20230627,0.014359,0.99908,0.018768,0.99976,0.76507,5.5853,1.54,0.90052,0.55972,0.57736,NA,TMP,FW,POOL,NA,2023-06-27
TMP_FW_POOL_20230707,0.014271,0.99944,0.018707,0.99976,0.76286,5.5573,1.5168,0.90777,0.5482,0.56199,NA,TMP,FW,POOL,NA,2023-07-07
TMP_C_POOL_20230202,0.01427,0.99912,0.018625,0.99984,0.76616,5.3755,1.5427,0.9338,0.52737,0.53627,NA,TMP,C,POOL,NA,2023-02-02
TMP_C_POOL_20221019-20221024,0.014632,0.99913,0.018195,0.99991,0.80417,5.4903,1.578,0.89525,0.55588,0.56154,NA,TMP,C,POOL,NA,2022-10-19
TMP_C_POOL_20221128-20221201,0.01476,0.99915,0.018989,0.99981,0.77731,5.6407,1.5858,0.92883,0.56854,0.58594,NA,TMP,C,POOL,NA,2022-11-28
TMP_C_POOL_20230417,0.014173,0.99981,0.016444,0.99991,0.86187,4.9869,1.5617,0.91977,0.53908,0.54346,NA,TMP,C,POOL,NA,2023-04-17
TMP_FW_POOL_20230202,0.0145,0.99917,0.018735,0.99985,0.77397,5.6836,1.5134,0.9245,0.54998,0.56043,NA,TMP,FW,POOL,NA,2023-02-02
TMP_FW_POOL_20221019-20221024,0.014515,0.99952,0.018823,0.99974,0.77113,5.6256,1.5236,0.92571,0.55947,0.57226,NA,TMP,FW,POOL,NA,2022-10-19
TMP_FW_POOL_20230417,0.014883,0.99985,0.018731,0.99982,0.79455,5.7049,1.553,0.93081,0.57096,0.57227,NA,TMP,FW,POOL,NA,2023-04-17
TMP_FW_POOL_20221128-20221201,0.014155,0.99948,0.017207,0.99996,0.82264,5.2957,1.5156,0.92799,0.55749,0.56599,NA,TMP,FW,POOL,NA,2022-11-28
TMP_SW_POOL_20230202,0.012305,0.9998,0.016288,0.99989,0.75547,4.4791,1.4078,0.95032,0.47173,0.48516,NA,TMP,SW,POOL,NA,2023-02-02
TMP_SW_POOL_20221019,0.012287,0.99929,0.016674,0.9999,0.73686,4.626,1.4376,0.94236,0.51729,0.52686,NA,TMP,SW,POOL,NA,2022-10-19
TMP_SW_POOL_20230417,0.011922,0.99963,0.015364,0.99992,0.77596,4.2263,1.367,0.94864,0.45559,0.47272,NA,TMP,SW,POOL,NA,2023-04-17
TMP_SW_POOL_20221128-20221201,0.011976,0.99927,0.016013,0.99996,0.74788,4.4338,1.3672,0.94404,0.46866,0.48528,NA,TMP,SW,POOL,NA,2022-11-28
TMP_SW_POOL_20230607_0800_SW11,0.015377,0.98304,0.02033,0.99961,0.75634,7.6527,1.7805,0.61355,0.89851,0.93513,NA,TMP,SW,POOL,NA,2023-06-07
TMP_SW_POOL_20230617,0.016535,0.99383,0.018522,0.99994,0.89276,6.9519,1.781,0.67311,0.88539,0.92088,NA,TMP,SW,POOL,NA,2023-06-17
TMP_SW_POOL_20230627,0.013248,0.99614,0.014657,0.99988,0.90384,4.8457,1.7465,0.68492,0.90976,0.9489,NA,TMP,SW,POOL,NA,2023-06-27
TMP_SW_POOL_20230614,0.015695,0.9952,0.016005,0.99947,0.98062,5.9621,1.8166,0.71907,0.85136,0.87349,NA,TMP,SW,POOL,NA,2023-06-14
TMP_SW_POOL_20230707,0.014847,0.99798,0.018232,0.99993,0.81433,6.0212,1.7418,0.78685,0.78417,0.81,NA,TMP,SW,POOL,NA,2023-07-07
